"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Durée du voyage";"Raison principale du voyage";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335360";"1.3.7.1";"1396";"B";"";"";"0"
"2018-04";"Total, tous les pays et régions";"";"Une nuit ou plus";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335362";"1.3.8.1";"1764";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335311";"2.1.1.1";"68163";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335328";"2.1.2.1";"23222";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335331";"2.1.3.1";"27423";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335334";"2.1.4.1";"1517";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335337";"2.1.5.1";"3953";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Autres raisons personnelles";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335340";"2.1.6.1";"5068";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Conférence ou congrès (pour les affaires)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335343";"2.1.7.1";"1898";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Total, toutes les durées";"Autres raisons d'affaires";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335346";"2.1.8.1";"5084";"B";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Même jour";"Total, toutes les raisons du voyage";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335316";"2.2.1.1";"45570";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Même jour";"Vacances, loisirs ou agrément";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335363";"2.2.2.1";"14782";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Même jour";"Visiter des amis ou de la parenté";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335368";"2.2.3.1";"17443";"A";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Même jour";"Conférence ou congrès (personnel)";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335373";"2.2.4.1";"1029";"C";"";"";"0"
"2018-04";"Canada";"2021A000011124";"Même jour";"Magasinage, non routinier";"Nombre de voyages";"Nombre";"223";"milliers";"3";"v1064335378";"2.2.5.1";"3683";"B";"";"";"0"
