"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Motif principal du voyage";"Durée de voyage";"Statistiques de voyage";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018-01";"Canada";"2021A000011124";"Tous les motifs principaux de voyage";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320260";"2.1.3.2";"17188";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320261";"2.2.1.1";"60969";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320262";"2.2.1.2";"49799";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320263";"2.2.2.1";"42399";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320264";"2.2.2.2";"34681";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320265";"2.2.3.1";"18570";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320266";"2.2.3.2";"15118";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320267";"2.3.1.1";"21003";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320268";"2.3.1.2";"16015";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320269";"2.3.2.1";"13950";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320270";"2.3.2.2";"10693";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320271";"2.3.3.1";"7054";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Vacances, loisirs et agrément";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320272";"2.3.3.2";"5322";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320273";"2.4.1.1";"29659";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320274";"2.4.1.2";"25072";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320275";"2.4.2.1";"19795";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320276";"2.4.2.2";"16585";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320277";"2.4.3.1";"9864";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Visite aux amis et à la parenté";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320278";"2.4.3.2";"8486";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320279";"2.5.1.1";"1160";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320280";"2.5.1.2";"953";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320281";"2.5.2.1";"749";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320282";"2.5.2.2";"641";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320283";"2.5.3.1";"411";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (personnel)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320284";"2.5.3.2";"312";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320285";"2.6.1.1";"3825";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320286";"2.6.1.2";"3250";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320287";"2.6.2.1";"3627";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320288";"2.6.2.2";"3076";"A";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320289";"2.6.3.1";"198";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Magasinage, non routinier";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320290";"2.6.3.2";"174";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320291";"2.7.1.1";"5322";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320292";"2.7.1.2";"4509";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320293";"2.7.2.1";"4279";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320294";"2.7.2.2";"3685";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320295";"2.7.3.1";"1043";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif personnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320296";"2.7.3.2";"824";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320297";"2.8.1.1";"6884";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320298";"2.8.1.2";"6521";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320299";"2.8.2.1";"4682";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320300";"2.8.2.2";"4451";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320301";"2.8.3.1";"2202";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Affaires et motif professionnel";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320302";"2.8.3.2";"2070";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320303";"2.9.1.1";"1928";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Toutes les durées de voyage";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320304";"2.9.1.2";"1819";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320305";"2.9.2.1";"989";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Même jour (Excursionnistes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320306";"2.9.2.2";"956";"C";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages";"Nombre";"223";"milliers";"3";"v1918320307";"2.9.3.1";"939";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Conférence et congrès (pour les affaires)";"Une nuit ou plus (Touristes)";"Voyages, voyageurs âgés de 18 ans ou plus";"Nombre";"223";"milliers";"3";"v1918320308";"2.9.3.2";"863";"B";"";"";"0"
"2018-01";"Canada";"2021A000011124";"Autre motif professionnel";"Toutes les durées de voyage";"Voyages";"Nombre";"223";"milliers";"3";"v1918320309";"2.10.1.1";"4956";"B";"";"";"0"
